PID,Ethnicity,share,Age,Gender,Village,Condition
1EC8,Bandongo,NO,10.8,F,Village2,intra
5B11,Bandongo,NO,10.271233,F,Village2,intra
4C5A,Bandongo,NO,13,F,Village2,intra
6D27,Bandongo,NO,13.09589,M,Village2,intra
XEBD,Bandongo,NO,7.09589,F,Village2,intra
FXDD,Bandongo,NO,9.09589,F,Village2,intra
TOV6,Bandongo,NO,13.09589,M,Village2,intra
94BA,Bandongo,NO,7.8,F,Village2,intra
DC32,Bandongo,NO,9.8,M,Village2,intra
6T2R,Bandongo,NO,11.09589,F,Village2,intra
I86W,Bandongo,YES,25.09589,M,Village2,intra
BC81,Bandongo,YES,38.671233,M,Village2,intra
B057,BaYaka,YES,15.775342,F,Village2,intra
0DD8,Bandongo,YES,37.819178,M,Village2,intra
ECC8,Bandongo,NO,38.8,M,Village2,intra
NEW090,Bandongo,YES,33,M,Village2,intra
B83D,Bandongo,YES,31.863014,M,Village2,intra
6FAC,Bandongo,YES,37.632877,M,Village2,intra
9DFF,Bandongo,YES,36.09589,F,Village2,intra
4B48,Bandongo,YES,34.8,F,Village2,intra
T742,Bandongo,YES,43.09589,F,Village2,intra
6B40,Bandongo,YES,40.128767,M,Village2,intra
31B8,Bandongo,NO,6.8,F,Village2,intra
ACE9,Bandongo,NO_RESPONSE,10.8,F,Village2,intra
DAE1,Bandongo,NO,10.8,M,Village2,intra
6B9A,Bandongo,NO,13.8,M,Village2,intra
PSIM,Bandongo,YES,5.09589,F,Village2,intra
6C20,Bandongo,NO_RESPONSE,5.59589,M,Village2,intra
HL2I,Bandongo,YES,11.09589,M,Village2,intra
38A9,Bandongo,YES,11.8,M,Village2,intra
074F,Bandongo,NO,14.59589,M,Village2,intra
CF16,Bandongo,NO,8.59589,F,Village2,intra
A19E,BaYaka,YES,10,F,Village2,intra
NEW150,BaYaka,YES,11,M,Village2,intra
NEW152,BaYaka,YES,8,F,Village2,intra
C768,Bandongo,YES,66.09589,F,Village2,intra
0A08,Bandongo,YES,5.8,F,Village2,intra
EEA8,Bandongo,YES,11.606011,F,Village2,intra
B0CC,Bandongo,YES,11.606011,F,Village2,intra
B95D,Bandongo,NOT_SURE,14.8,M,Village2,intra
586F,Bandongo,YES,36.09589,M,Village2,intra
895C,Bandongo,YES,33.59589,F,Village2,intra
F87F,Bandongo,YES,12.59589,M,Village2,intra
FF6B,Bandongo,YES,14.09589,M,Village2,intra
QK1Z,Bandongo,NO,5.09589,F,Village2,intra
5NQI,Bandongo,NO,10.09589,M,Village2,intra
01F4,Bandongo,NO,9.8,M,Village2,intra
11WE,Bandongo,NO,22.09589,M,Village2,intra
D7BE,Bandongo,NO,22.8,M,Village2,intra
2MPN,Bandongo,NO,29.09589,F,Village2,intra
1C36,Bandongo,YES,22.49863,M,Village2,intra
