Subj,Ethnicity,Village,Gender,Order,share,CODE
5ByaH,BaYaka,Village1,M,3,intra,Family
4ByaH,BaYaka,Village1,M,4,intra,Family
ByaF13,BaYaka,Village1,F,2,intra,Family
10ByaH,BaYaka,Village1,M,4,intra,Family
8ByaH,BaYaka,Village1,M,2,intra,Family
2ByaH,BaYaka,Village1,M,3,intra,Family
ByaF19,BaYaka,Village1,F,2,intra,Family
09ByaH,BaYaka,Village1,M,4,intra,Family
ByaF16,BaYaka,Village1,F,2,intra,Family
ByaF14,BaYaka,Village1,F,3,intra,Family
2BDAHL,Bandongo,Village2,M,4,intra,Church
3ByaH,BaYaka,Village1,M,2,intra,Father
09ByaH,BaYaka,Village1,M,3,intra,Father
6ByaH,BaYaka,Village1,M,2,intra,Father
2BDMA,Bandongo,Village1,M,2,intra,Father
09ByaH,BaYaka,Village1,M,2,intra,Peer
09ByaH,BaYaka,Village1,M,5,intra,Sister
10ByaH,BaYaka,Village1,M,3,intra,Sister
ByaF12,BaYaka,Village1,F,3,intra,Sister
ByaF18,BaYaka,Village1,F,3,intra,Peer
5BDAFL,Bandongo,Village2,F,3,intra,Aunt
26BDFA,Bandongo,Village1,F,3,intra,Aunt
36BDFA,Bandongo,Village1,F,4,intra,Aunt
1BDAFL,Bandongo,Village2,F,3,intra,Aunt
5BDAFL,Bandongo,Village2,F,4,intra,Neighbour
8BDAFL,Bandongo,Village2,F,2,intra,Neighbour
36BDFA,Bandongo,Village1,F,3,intra,Peer
3BDAHL,Bandongo,Village2,M,1,intra,Peer
26BDFA,Bandongo,Village1,F,1,intra,In-Law
36BDFA,Bandongo,Village1,F,1,intra,Mother
2BDAFL,Bandongo,Village2,F,1,intra,Church
4BDFA,Bandongo,Village1,F,1,intra,Mother
ByaF13,BaYaka,Village1,F,1,intra,Mother
ByaF19,BaYaka,Village1,F,1,intra,Mother
ByaF18,BaYaka,Village1,F,1,intra,Mother
1ByaFL,BaYaka,Village2,F,1,intra,Mother
ByaF17,BaYaka,Village1,F,1,intra,Mother
3ByaFL,BaYaka,Village2,F,1,intra,Mother
5ByaH,BaYaka,Village1,M,1,intra,Mother
7BDAFL,Bandongo,Village2,F,1,intra,Mother
5BDAFL,Bandongo,Village2,F,1,intra,Mother
32BDFA,Bandongo,Village1,F,1,intra,Mother
ByaF15,BaYaka,Village1,F,1,intra,Mother
ByaF16,BaYaka,Village1,F,1,intra,Mother
3BDAFL,Bandongo,Village2,F,1,intra,Mother
7BDAHL,Bandongo,Village2,M,1,intra,Mother
8BDAHL,Bandongo,Village2,M,1,intra,Mother
ByaF12,BaYaka,Village1,F,1,intra,Mother
4ByaH,BaYaka,Village1,M,1,intra,Mother
31BDFA,Bandongo,Village1,F,1,intra,Mother
6ByaH,BaYaka,Village1,M,1,intra,Mother
8ByaH,BaYaka,Village1,M,1,intra,Mother
33BDFA,Bandongo,Village1,F,1,intra,Mother
3ByaH,BaYaka,Village1,M,1,intra,Mother
10BDAHL,Bandongo,Village2,M,1,intra,Mother
ByaF11,BaYaka,Village1,F,1,intra,Mother
37BDFA,Bandongo,Village1,F,1,intra,Mother
8BDAFL,Bandongo,Village2,F,1,intra,Mother
ByaF14,BaYaka,Village1,F,1,intra,Mother
4ByaHL,BaYaka,Village2,M,1,intra,Mother
4BDAHL,Bandongo,Village2,M,1,intra,Mother
09ByaH,BaYaka,Village1,M,1,intra,Mother
7ByaFL,BaYaka,Village2,F,1,intra,Mother
1ByaHL,BaYaka,Village2,M,1,intra,Mother
7BDFA,Bandongo,Village1,F,1,intra,Both Parents
10BDMA,Bandongo,Village1,M,1,intra,Both Parents
9BDFA,Bandongo,Village1,F,1,intra,Both Parents
5ByaHL,BaYaka,Village2,M,1,intra,Self
4ByaFL,BaYaka,Village2,F,1,intra,Self
2ByaHL,BaYaka,Village2,M,1,intra,Self
6BDAFL,Bandongo,Village2,F,1,intra,Self
35BDFA,Bandongo,Village1,F,1,intra,Self
5ByaFL,BaYaka,Village2,F,1,intra,Self
3ByaHL,BaYaka,Village2,M,1,intra,Self
10BDAFL,Bandongo,Village2,F,1,intra,Self
30BDFA,Bandongo,Village1,F,1,intra,Spouse
2BDMA,Bandongo,Village1,M,1,intra,Self
08BDMA,Bandongo,Village1,M,1,intra,Father
2BDAHL,Bandongo,Village2,M,1,intra,Father
2ByaH,BaYaka,Village1,M,1,intra,Father
2ByaFL,BaYaka,Village2,F,1,intra,Father
10ByaH,BaYaka,Village1,M,1,intra,Father
9BDAHL,Bandongo,Village2,M,1,intra,Father
1BDAHL,Bandongo,Village2,M,1,intra,Father
5BDAHL,Bandongo,Village2,M,1,intra,Father
6BYAFL,BaYaka,Village2,F,1,intra,Father
9BDAFL,Bandongo,Village2,F,1,intra,Father
4BDAFL,Bandongo,Village2,F,1,intra,Father
1BDAFL,Bandongo,Village2,F,1,intra,Father
7ByaH,BaYaka,Village1,M,1,intra,Father
1ByaH,BaYaka,Village1,M,1,intra,Father
34BDFA,Bandongo,Village1,F,1,intra,Aunt
6BDAHL,Bandongo,Village2,M,1,intra,Sharing Partners
6ByaH,BaYaka,Village1,M,4,inter,School
09ByaH,BaYaka,Village1,M,4,inter,School
4ByaH,BaYaka,Village1,M,4,inter,School
4ByaH,BaYaka,Village1,M,2,inter,Peer
3ByaH,BaYaka,Village1,M,3,inter,Spouse
ByaF19,BaYaka,Village1,F,2,inter,Peer
ByaF14,BaYaka,Village1,F,2,inter,Peer
1ByaH,BaYaka,Village1,M,4,inter,Peer
9BDFA,Bandongo,Village1,F,2,inter,Grandmother
6BDAHL,Bandongo,Village2,M,2,inter,Grandmother
33BDFA,Bandongo,Village1,F,3,inter,Grandmother
ByaF16,BaYaka,Village1,F,4,inter,Grandfather
2BDMA,Bandongo,Village1,M,2,inter,Grandfather
6BDAFL,Bandongo,Village2,F,2,inter,Grandfather
26BDFA,Bandongo,Village1,F,2,inter,Grandmother
2BDAFL,Bandongo,Village2,F,2,inter,Grandmother
30BDFA,Bandongo,Village1,F,2,inter,Sister
36BDFA,Bandongo,Village1,F,5,inter,Peer
10BDMA,Bandongo,Village1,M,2,inter,Both Parents
9BDFA,Bandongo,Village1,F,3,inter,Aunt
ByaF16,BaYaka,Village1,F,2,inter,Mother
7ByaH,BaYaka,Village1,M,2,inter,Mother
3BDAHL,Bandongo,Village2,M,2,inter,Mother
ByaF15,BaYaka,Village1,F,2,inter,Mother
1ByaH,BaYaka,Village1,M,3,inter,Mother
ByaF18,BaYaka,Village1,F,3,inter,Mother
6ByaH,BaYaka,Village1,M,3,inter,Mother
7BDAHL,Bandongo,Village2,M,2,inter,Mother
30BDFA,Bandongo,Village1,F,4,inter,Mother
6BYAFL,BaYaka,Village2,F,2,inter,Mother
08BDMA,Bandongo,Village1,M,2,inter,Mother
1ByaH,BaYaka,Village1,M,2,inter,Peer
4BDFA,Bandongo,Village1,F,2,inter,Self
2BDAFL,Bandongo,Village2,F,3,inter,Self
7BDFA,Bandongo,Village1,F,3,inter,In-Law
7BDFA,Bandongo,Village1,F,2,inter,Spouse
2ByaH,BaYaka,Village1,M,2,inter,Uncle
1BDAHL,Bandongo,Village2,M,2,inter,Uncle
36BDFA,Bandongo,Village1,F,2,inter,Father
9BDAHL,Bandongo,Village2,M,2,inter,Father
10BDAHL,Bandongo,Village2,M,2,inter,Father
6ByaH,BaYaka,Village1,M,2,inter,Father
31BDFA,Bandongo,Village1,F,2,inter,Father
30BDFA,Bandongo,Village1,F,3,inter,Father
5ByaH,BaYaka,Village1,M,3,inter,Family
ByaF17,BaYaka,Village1,F,2,inter,Family
ByaF11,BaYaka,Village1,F,2,inter,Family
7ByaFL,BaYaka,Village2,F,2,inter,Family
ByaF18,BaYaka,Village1,F,4,inter,Family
09ByaH,BaYaka,Village1,M,3,inter,Family
4ByaH,BaYaka,Village1,M,3,inter,Family
ByaF19,BaYaka,Village1,F,3,inter,Family
10ByaH,BaYaka,Village1,M,2,inter,Family
3ByaH,BaYaka,Village1,M,2,inter,Father
09ByaH,BaYaka,Village1,M,2,inter,Father
ByaF18,BaYaka,Village1,F,2,inter,Peer
5ByaH,BaYaka,Village1,M,2,inter,Spouse
2ByaH,BaYaka,Village1,M,3,inter,Peer
7ByaH,BaYaka,Village1,M,3,inter,Sister
ByaF16,BaYaka,Village1,F,3,inter,Peer
36BDFA,Bandongo,Village1,F,4,inter,Aunt
36BDFA,Bandongo,Village1,F,3,inter,Peer
33BDFA,Bandongo,Village1,F,2,inter,Peer
10BDAFL,Bandongo,Village2,F,1,inter,Work
9BDAHL,Bandongo,Village2,M,1,inter,BaYaka
ByaF19,BaYaka,Village1,F,1,inter,Bantu
3ByaFL,BaYaka,Village2,F,1,inter,Bantu
2ByaHL,BaYaka,Village2,M,1,inter,Bantu
1ByaFL,BaYaka,Village2,F,1,inter,Bantu
4ByaH,BaYaka,Village1,M,1,inter,Bantu
2ByaFL,BaYaka,Village2,F,1,inter,Bantu
10ByaH,BaYaka,Village1,M,1,inter,Bantu
4ByaHL,BaYaka,Village2,M,1,inter,Bantu
3ByaHL,BaYaka,Village2,M,1,inter,Bantu
34BDFA,Bandongo,Village1,F,1,inter,Custom
ByaF18,BaYaka,Village1,F,1,inter,Peer
ByaF17,BaYaka,Village1,F,1,inter,Grandmother
2BDMA,Bandongo,Village1,M,1,inter,Grandmother
6BDAFL,Bandongo,Village2,F,1,inter,Grandmother
6BDAHL,Bandongo,Village2,M,1,inter,Grandfather
10BDMA,Bandongo,Village1,M,1,inter,Peer
7BDFA,Bandongo,Village1,F,1,inter,In-Law
30BDFA,Bandongo,Village1,F,1,inter,Aunt
5ByaH,BaYaka,Village1,M,1,inter,Mother
09ByaH,BaYaka,Village1,M,1,inter,Mother
36BDFA,Bandongo,Village1,F,1,inter,Mother
8BDAFL,Bandongo,Village2,F,1,inter,Mother
7ByaFL,BaYaka,Village2,F,1,inter,Mother
33BDFA,Bandongo,Village1,F,1,inter,Mother
2BDAFL,Bandongo,Village2,F,1,inter,Mother
10BDAHL,Bandongo,Village2,M,1,inter,Mother
26BDFA,Bandongo,Village1,F,1,inter,Mother
ByaF11,BaYaka,Village1,F,1,inter,Mother
31BDFA,Bandongo,Village1,F,1,inter,Mother
5BDAHL,Bandongo,Village2,M,1,inter,Mother
9BDAFL,Bandongo,Village2,F,1,inter,Spouse
4BDFA,Bandongo,Village1,F,1,inter,Mother
1ByaH,BaYaka,Village1,M,1,inter,Brother
32BDFA,Bandongo,Village1,F,1,inter,Both Parents
5BDAFL,Bandongo,Village2,F,1,inter,Self
35BDFA,Bandongo,Village1,F,1,inter,Self
1BDAHL,Bandongo,Village2,M,1,inter,Self
8BDAHL,Bandongo,Village2,M,1,inter,Self
2BDAHL,Bandongo,Village2,M,1,inter,Self
1BDAFL,Bandongo,Village2,F,1,inter,Self
37BDFA,Bandongo,Village1,F,1,inter,Self
7BDAHL,Bandongo,Village2,M,1,inter,Self
4BDAFL,Bandongo,Village2,F,1,inter,Self
5ByaFL,BaYaka,Village2,F,1,inter,Unknown
6ByaH,BaYaka,Village1,M,1,inter,Uncle
7BDAFL,Bandongo,Village2,F,1,inter,Father
3BDAHL,Bandongo,Village2,M,1,inter,Father
3BDAFL,Bandongo,Village2,F,1,inter,Father
6BYAFL,BaYaka,Village2,F,1,inter,Father
4BDAHL,Bandongo,Village2,M,1,inter,Father
ByaF15,BaYaka,Village1,F,1,inter,Family
ByaF14,BaYaka,Village1,F,1,inter,Family
ByaF13,BaYaka,Village1,F,1,inter,Family
2ByaH,BaYaka,Village1,M,1,inter,Family
08BDMA,Bandongo,Village1,M,1,inter,Father
9BDFA,Bandongo,Village1,F,1,inter,Father
7ByaH,BaYaka,Village1,M,1,inter,Father
ByaF16,BaYaka,Village1,F,1,inter,Sister
3ByaH,BaYaka,Village1,M,1,inter,Unknown
